year_month,cleaned_company,complaints_count,mentions,sentiment
201704,Bank-of-America,8,94,-0.346483204452718
201703,Bank-of-America,1267,223,-1.53172596266796
201702,Bank-of-America,1546,252,0.0369960567619227
201701,Bank-of-America,1696,1194,-1.61637507770211
201612,Bank-of-America,1504,228,-0.267220059164653
201611,Bank-of-America,1616,257,-2.89936246414754
201610,Bank-of-America,1710,353,0.626223267532439
201609,Bank-of-America,1814,440,-0.308620648668302
201608,Bank-of-America,1822,670,-0.814461499586836
201607,Bank-of-America,1454,235,-0.909193023272923
201606,Bank-of-America,1658,520,-1.70695282989797
201605,Bank-of-America,1542,1043,-2.04926166458679
201604,Bank-of-America,1622,438,-0.543396069083298
201603,Bank-of-America,1698,454,-0.340120351099422
201602,Bank-of-America,1474,359,-0.260496347240712
201601,Bank-of-America,1654,277,0.053938546758248
