year_month,cleaned_company,complaints_count,mentions,sentiment
201704,Equifax,66,11,2.25561271607876
201703,Equifax,2456,18,1.12018946355039
201702,Equifax,2498,17,2.7675267547369
201701,Equifax,2479,36,1.79024293739349
201612,Equifax,2312,4,1.68394867579142
201611,Equifax,2296,32,0.953805905931136
201610,Equifax,2860,43,2.85409236225215
201609,Equifax,2776,64,3.7528678723744
201608,Equifax,3004,57,2.09261064594839
201607,Equifax,2966,13,3.52661699056625
201606,Equifax,2974,19,4.45226084715442
201605,Equifax,2884,27,1.37375016212463
201604,Equifax,2706,8,1.18961725383997
201603,Equifax,2998,17,2.19061766351972
201602,Equifax,2104,9,1.52913276354472
201601,Equifax,2062,12,6.61595367060767
