year_month,cleaned_company,complaints_count,mentions,sentiment
201704,JPMorgan,4,201,-1.50489283334769
201703,JPMorgan,1134,150,-1.79653069048243
201702,JPMorgan,1256,619,-2.17974684588493
201701,JPMorgan,1478,1039,-1.38846085484696
201612,JPMorgan,1432,452,-2.97713481922107
201611,JPMorgan,1406,716,-1.73090935246575
201610,JPMorgan,1534,181,-1.09028406623962
201609,JPMorgan,1540,735,-1.06091269534891
201608,JPMorgan,1724,394,-1.19834745279304
201607,JPMorgan,1304,170,-0.564159099517737
201606,JPMorgan,1338,191,-2.63751970673655
201605,JPMorgan,1462,152,-2.21384724507821
201604,JPMorgan,1390,210,-2.13625542341538
201603,JPMorgan,1528,495,-2.24144114383629
201602,JPMorgan,1364,189,-1.10360979400575
201601,JPMorgan,1502,379,-1.10251124742796
