year_month,cleaned_company,complaints_count,mentions,sentiment
201702,Transunion,2497,2,-0.0140807498246431
201701,Transunion,2259,12,1.54367407597601
201612,Transunion,1870,6,3.18343950808048
201611,Transunion,1890,6,-8.7459971110026
201610,Transunion,3204,18,-2.36318588256836
201609,Transunion,2138,21,0.96124439239502
201608,Transunion,2154,3,3.72145450115204
201606,Transunion,2194,7,1.274678170681
201605,Transunion,2071,1,3.19148945808411
201604,Transunion,2166,3,2.36055366198222
201603,Transunion,2230,10,7.40363788604736
201602,Transunion,1608,22,2.73719788328386
