year_month,cleaned_company,complaints_count,mentions,sentiment
201704,Wells-Fargo,2,3607,-3.84096468036112
201703,Wells-Fargo,1355,2319,-1.6696566834218
201702,Wells-Fargo,1607,3371,-1.57326595246514
201701,Wells-Fargo,1896,2867,-1.95743028625642
201612,Wells-Fargo,1827,2196,-2.36266202619759
201611,Wells-Fargo,2096,3677,-3.01983842912051
201610,Wells-Fargo,2766,17034,-3.49780449270246
201609,Wells-Fargo,3183,24441,-3.84400294412033
201608,Wells-Fargo,1690,493,-0.647401454429264
201607,Wells-Fargo,1436,211,1.7445557979175
201606,Wells-Fargo,1530,388,-0.270609713891255
201605,Wells-Fargo,1544,295,-0.179631607515701
201604,Wells-Fargo,1544,796,-0.3420216121416
201603,Wells-Fargo,1700,2158,-1.94467171197956
201602,Wells-Fargo,1474,658,-0.957604143294167
201601,Wells-Fargo,1618,424,-0.205121956109383
